,context,ut,bt,bt_plus_1,diff,related_placeholders
866," A:Hi! Did you enjoy a nice Thanksgiving? B:Hello! Yes, I had a very pleasant and nice Thanksgiving. Same for you I hope? A:Yes, yes. It's one of the times my actually sits and watches a movie. We love Disney movies. Do you? B:Yeah, I enjoyed Disney movies a lot growing up but haven't seen any of the newer ones recently. I was maybe thinking of watching some of them though. A:What type movies to you typically enjoy? B:I'll watch any movie to be honest. Though I like actions, [MOVIE_GENRE_0] historical or [MOVIE_GENRE_1] films the most. A nice looking animated film is also pleasant to look at. A:Same here. Who do you usually watch movies with? [MOVIE_PLOT] B:I live by myself, so I usually watch movies alone barring the rare time I have a friend or member over or I'm at their place and we watch something. A:It would be nice to enjoy the quiet and watch a good historical movie. What was the last movie you watched?","The last movie I watched was actually Us, the [MOVIE_P_ACTOR_0] film earlier this year.","['[MOVIE_GENRE_0]', '[MOVIE_P_ACTOR_0]']","['[MOVIE_GENRE_0]', '[MOVIE_P_ACTOR_0]', '[MOVIE_P_ACTOR_0]']",['[MOVIE_P_ACTOR_0]'],"['[MOVIE_P_ACTOR_0]', '[MOVIE_TITLE_0]']"
867," A:Hello, hope youre having a great day",Hi. not so bad. I am looking for your recommendation about movie trailers,[],[],[],[]
868," A:Hello, hope youre having a great day B:Hi. not so bad. I am looking for your recommendation about movie trailers A:Great I can definitely help you out with that, what type of movies do you like?",I like [MOVIE_GENRE_0] movies,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],"['[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']"
869," A:Hello, hope youre having a great day B:Hi. not so bad. I am looking for your recommendation about movie trailers A:Great I can definitely help you out with that, what type of movies do you like? B:I like [MOVIE_GENRE_0] movies A:Ok so [MOVIE_TITLE_0] is a great movie, a lot of [MOVIE_GENRE_0] and if you like the first part there are 2 more.",ahh interesting. have you seen this movie already?,[],[],[],['[MOVIE_TITLE_1]']
870," A:Hello, hope youre having a great day B:Hi. not so bad. I am looking for your recommendation about movie trailers A:Great I can definitely help you out with that, what type of movies do you like? B:I like [MOVIE_GENRE_0] movies A:Ok so [MOVIE_TITLE_0] is a great movie, a lot of [MOVIE_GENRE_0] and if you like the first part there are 2 more. B:ahh interesting. have you seen this movie already? A:I have, it's really good the leading actor is [MOVIE_TITLE_1] Reaves, it's an american production.",great I think I'll ove it. Actually I like [MOVIE_TITLE_1] Reaves. I saw the saga of Matrix.,[],[],[],['[MOVIE_P_DIRECTOR_0]']
871," A:hello, I am here to help you find a movie trailer recommendation","Hello, I am looking for an [MOVIE_GENRE_0] movie",['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
872," A:hello, I am here to help you find a movie trailer recommendation B:Hello, I am looking for an [MOVIE_GENRE_0] movie A:okay. before I recommend you some movies, I would like to know what the last [MOVIE_GENRE_0] movie you just watched",The last movie I saw was XMen - [MOVIE_TITLE_0],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
873," A:hello, I am here to help you find a movie trailer recommendation B:Hello, I am looking for an [MOVIE_GENRE_0] movie A:okay. before I recommend you some movies, I would like to know what the last [MOVIE_GENRE_0] movie you just watched B:The last movie I saw was XMen - [MOVIE_TITLE_0] A:cool. so I assume you are a fan of [MOVIE_GENRE_0] movies?","Yes, I am a big fan of [MOVIE_GENRE_0] movies. I loved the last [MOVIE_TITLE_1] movie","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
874," A:hello, I am here to help you find a movie trailer recommendation B:Hello, I am looking for an [MOVIE_GENRE_0] movie A:okay. before I recommend you some movies, I would like to know what the last [MOVIE_GENRE_0] movie you just watched B:The last movie I saw was XMen - [MOVIE_TITLE_0] A:cool. so I assume you are a fan of [MOVIE_GENRE_0] movies? B:Yes, I am a big fan of [MOVIE_GENRE_0] movies. I loved the last [MOVIE_TITLE_1] movie A:that's nice! what do you like best from [MOVIE_GENRE_0] movies?","I like when the main character has some sort of special abilties, or powers","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[],['[MOVIE_TITLE_2]']
875," A:hello, I am here to help you find a movie trailer recommendation B:Hello, I am looking for an [MOVIE_GENRE_0] movie A:okay. before I recommend you some movies, I would like to know what the last [MOVIE_GENRE_0] movie you just watched B:The last movie I saw was XMen - [MOVIE_TITLE_0] A:cool. so I assume you are a fan of [MOVIE_GENRE_0] movies? B:Yes, I am a big fan of [MOVIE_GENRE_0] movies. I loved the last [MOVIE_TITLE_1] movie A:that's nice! what do you like best from [MOVIE_GENRE_0] movies? B:I like when the main character has some sort of special abilties, or powers A:ah I see... have you watched all [MOVIE_TITLE_2] movies? B:I have watched most of the [MOVIE_TITLE_2] movies. A:then have you watched DC movies? like superman or batman?","I have watched most of the DC movies too, all of the superman and batman movies. I haven't seen all of the [MOVIE_TITLE_3]Man movies though","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_5]']",['[MOVIE_TITLE_5]'],['[MOVIE_TITLE_5]']
876," A:hi, how are you doing today?","Good, how are you?",[],[],[],[]
877," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently?",I re-watched [MOVIE_TITLE_0] last week. I can't get enough.,"['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]']
878," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently? B:I re-watched [MOVIE_TITLE_0] last week. I can't get enough. A:I've heard great things about that series. I have not seen too many [MOVIE_GENRE_1] movies recently",What do you like? Can you recommend any movies?,"['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]']",['[MOVIE_GENRE_2]'],"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_2]', '[MOVIE_TITLE_1]']"
879," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently? B:I re-watched [MOVIE_TITLE_0] last week. I can't get enough. A:I've heard great things about that series. I have not seen too many [MOVIE_GENRE_1] movies recently B:What do you like? Can you recommend any movies? A:I like [MOVIE_GENRE_0] and [MOVIE_GENRE_2] as well as animated movies. I would definitely recommend [MOVIE_TITLE_1] that was released this year. The soundtrack was wonderful and i loved the graphics",I saw the original but have not seen the remake yet. I would love to watch it however as I hear it is quite good. Thank you for the recommendation.,"['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]', '[MOVIE_TITLE_2]']",['[MOVIE_TITLE_2]'],['[MOVIE_TITLE_2]']
880," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently? B:I re-watched [MOVIE_TITLE_0] last week. I can't get enough. A:I've heard great things about that series. I have not seen too many [MOVIE_GENRE_1] movies recently B:What do you like? Can you recommend any movies? A:I like [MOVIE_GENRE_0] and [MOVIE_GENRE_2] as well as animated movies. I would definitely recommend [MOVIE_TITLE_1] that was released this year. The soundtrack was wonderful and i loved the graphics B:I saw the original but have not seen the remake yet. I would love to watch it however as I hear it is quite good. Thank you for the recommendation. A:I would also recommend [MOVIE_TITLE_2] I think this may be right down your alley","Video game movies are tough. I do like the [MOVIE_TITLE_3] movies, and [MOVIE_TITLE_4] fassbender is an awesome actor. I will check this movie out as well. Was there anything bad about the movie? Did it end well?","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_9]']",['[MOVIE_TITLE_9]'],['[MOVIE_TITLE_9]']
881," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently? B:I re-watched [MOVIE_TITLE_0] last week. I can't get enough. A:I've heard great things about that series. I have not seen too many [MOVIE_GENRE_1] movies recently B:What do you like? Can you recommend any movies? A:I like [MOVIE_GENRE_0] and [MOVIE_GENRE_2] as well as animated movies. I would definitely recommend [MOVIE_TITLE_1] that was released this year. The soundtrack was wonderful and i loved the graphics B:I saw the original but have not seen the remake yet. I would love to watch it however as I hear it is quite good. Thank you for the recommendation. A:I would also recommend [MOVIE_TITLE_2] I think this may be right down your alley B:Video game movies are tough. I do like the [MOVIE_TITLE_3] movies, and [MOVIE_TITLE_4] fassbender is an awesome actor. I will check this movie out as well. Was there anything bad about the movie? Did it end well? A:reviews were mixed but it did win a few awards. How about [MOVIE_TITLE_9] movie?","That I did see. Again, [MOVIE_TITLE_4] fassbender. I am a comic fan first, so it was a bit odd, but a movie I enjoyed.","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_2]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_9]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_9]']",[],['[MOVIE_TITLE_5]']
882," A:hi, how are you doing today? B:Good, how are you? A:great! what kind of movies do you like? B:Comic book moves are my favorite now, but I also like [MOVIE_GENRE_0] and [MOVIE_GENRE_1] movies. A:okay! perfect. have you watched any good movies recently? B:I re-watched [MOVIE_TITLE_0] last week. I can't get enough. A:I've heard great things about that series. I have not seen too many [MOVIE_GENRE_1] movies recently B:What do you like? Can you recommend any movies? A:I like [MOVIE_GENRE_0] and [MOVIE_GENRE_2] as well as animated movies. I would definitely recommend [MOVIE_TITLE_1] that was released this year. The soundtrack was wonderful and i loved the graphics B:I saw the original but have not seen the remake yet. I would love to watch it however as I hear it is quite good. Thank you for the recommendation. A:I would also recommend [MOVIE_TITLE_2] I think this may be right down your alley B:Video game movies are tough. I do like the [MOVIE_TITLE_3] movies, and [MOVIE_TITLE_4] fassbender is an awesome actor. I will check this movie out as well. Was there anything bad about the movie? Did it end well? A:reviews were mixed but it did win a few awards. How about [MOVIE_TITLE_9] movie? B:That I did see. Again, [MOVIE_TITLE_4] fassbender. I am a comic fan first, so it was a bit odd, but a movie I enjoyed. A:Have you seen the most recent [MOVIE_TITLE_5] movie? I think this would be a great movie for you to check out.","I have. It was technically a comic book movie, but the whole untrustworthy narrator plot took away some of it. I had no idea at the end if it was real or not. Plus, I doubt it will tie into any other movies.","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_9]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_9]', '[MOVIE_TITLE_6]']",['[MOVIE_TITLE_6]'],"['[MOVIE_TITLE_6]', '[MOVIE_P_ACTOR_0]']"
883, A:Hey! How's it going?,Very good! How about yourself?,[],[],[],[]
884, A:Hey! How's it going? B:Very good! How about yourself? A:Doing well. I hear you are interested in movies?,I love movies! Definitely one of my passions,[],[],[],[]
885," A:Hey! How's it going? B:Very good! How about yourself? A:Doing well. I hear you are interested in movies? B:I love movies! Definitely one of my passions A:Same! It's what my degree is in, actually. Do you have a favorite genre?",I like indie and coming of age stories. I'm also always down for a good [MOVIE_GENRE_0] film.,['[MOVIE_GENRE_0]'],"['[MOVIE_GENRE_0]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_TITLE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_0]']"
886, A:Hi,"Hey! How are you? I'm looking for a movie recommendation. It's Monday, and I am bored. Have you seen any movies lately? What could you recommend?",[],['[MOVIE_TITLE_0]'],['[MOVIE_TITLE_0]'],['[MOVIE_TITLE_0]']
887," A:Hi B:Hey! How are you? I'm looking for a movie recommendation. It's Monday, and I am bored. Have you seen any movies lately? What could you recommend? A:Am Fine, Yes! have you seen the movie [MOVIE_TITLE_0]",No!! What do you know about it? Sounds interesting. I love [MOVIE_GENRE_0] [MOVIE_GENRE_1] action/adventure..is there a trailer for that movie?,['[MOVIE_TITLE_0]'],['[MOVIE_TITLE_0]'],[],['[MOVIE_P_ACTOR_0]']
888," A:Hi B:Hey! How are you? I'm looking for a movie recommendation. It's Monday, and I am bored. Have you seen any movies lately? What could you recommend? A:Am Fine, Yes! have you seen the movie [MOVIE_TITLE_0] B:No!! What do you know about it? Sounds interesting. I love [MOVIE_GENRE_0] [MOVIE_GENRE_1] action/adventure..is there a trailer for that movie? A:Yes there is a trailer on youtube, It is a movie by [MOVIE_P_ACTOR_0] it is ation B:Love [MOVIE_P_ACTOR_0]! I will have to look for that trailer. Do you know when it was released? Recently? A:It was relaesed recently B:Oh, is that the one where the used CGI to create a younger [MOVIE_P_ACTOR_0]? A:Yes did you watch it already?","No, but my husband was talking about a new [MOVIE_P_ACTOR_0] and I wondered if that was it. Thanks for a great recommendation. I will be watching. Any other suggestions?",['[MOVIE_TITLE_0]'],['[MOVIE_TITLE_0]'],[],['[MOVIE_TITLE_1]']
889, A:Hello!,Hi there!,[],[],[],[]
890, A:Hello! B:Hi there! A:Do you know what kind of movies do you like?,"I love indie, [MOVIE_GENRE_0] coming of age and [MOVIE_GENRE_1] I also love [MOVIE_GENRE_2] I am not a fan of [MOVIE_GENRE_3] films or [MOVIE_GENRE_4] much.",['[MOVIE_GENRE_2]'],"['[MOVIE_GENRE_2]', '[MOVIE_GENRE_2]']",['[MOVIE_GENRE_2]'],['[MOVIE_GENRE_2]']
891, A:hello!,Hello,[],[],[],[]
892, A:hello! B:Hello A:whats up,killing some time before I go home from work. How about you?,[],[],[],[]
893, A:hello! B:Hello A:whats up B:killing some time before I go home from work. How about you? A:yeah its super rainy here. I think a movie would be nice,what kinds of movies do you like?,[],['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
894, A:hello! B:Hello A:whats up B:killing some time before I go home from work. How about you? A:yeah its super rainy here. I think a movie would be nice B:what kinds of movies do you like? A:I like [MOVIE_GENRE_0],"Nice, have you seen any good [MOVIE_GENRE_0] movies lately?","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[],['[MOVIE_TITLE_0]']
895," A:hello! B:Hello A:whats up B:killing some time before I go home from work. How about you? A:yeah its super rainy here. I think a movie would be nice B:what kinds of movies do you like? A:I like [MOVIE_GENRE_0] B:Nice, have you seen any good [MOVIE_GENRE_0] movies lately? A:i saw [MOVIE_TITLE_0] What is the last movie that you watched?",The last movie I watched was the last [MOVIE_TITLE_0] movie on Disney plus,"['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_0]'],['[MOVIE_GENRE_0]']
896," A:hello! B:Hello A:whats up B:killing some time before I go home from work. How about you? A:yeah its super rainy here. I think a movie would be nice B:what kinds of movies do you like? A:I like [MOVIE_GENRE_0] B:Nice, have you seen any good [MOVIE_GENRE_0] movies lately? A:i saw [MOVIE_TITLE_0] What is the last movie that you watched? B:The last movie I watched was the last [MOVIE_TITLE_0] movie on Disney plus A:awesome. so you like [MOVIE_GENRE_0] too?","Some, my son and I watch [MOVIE_TITLE_0] together a lot. I also like drama/action/history","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[],"['[MOVIE_TITLE_1]', '[MOVIE_GENRE_1]']"
897, A:Hi,"hi, do you like movies?",[],"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_GENRE_1]']"
898," A:Hi B:hi, do you like movies? A:I do, I am into [MOVIE_GENRE_0] and [MOVIE_GENRE_1] the most. What about you?",i really liked both [MOVIE_TITLE_0] and [MOVIE_TITLE_1] but i also love [MOVIE_GENRE_0] which ones have you seen recently and can recommend?,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']",[],"['[MOVIE_TITLE_2]', '[MOVIE_P_ACTOR_0]']"
899," A:Hi B:hi, do you like movies? A:I do, I am into [MOVIE_GENRE_0] and [MOVIE_GENRE_1] the most. What about you? B:i really liked both [MOVIE_TITLE_0] and [MOVIE_TITLE_1] but i also love [MOVIE_GENRE_0] which ones have you seen recently and can recommend? A:I recommend [MOVIE_TITLE_2] with [MOVIE_P_ACTOR_0]. His role is different that his other movies so it was interesting watching him. It was a good movie that I would recommend.",I don't know anything about this movie. Do you have any other suggestions?,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_3]', '[MOVIE_GENRE_0]']","['[MOVIE_TITLE_3]', '[MOVIE_GENRE_0]']","['[MOVIE_GENRE_0]', '[MOVIE_TITLE_3]', '[MOVIE_TITLE_4]']"
900," A:Hi B:hi, do you like movies? A:I do, I am into [MOVIE_GENRE_0] and [MOVIE_GENRE_1] the most. What about you? B:i really liked both [MOVIE_TITLE_0] and [MOVIE_TITLE_1] but i also love [MOVIE_GENRE_0] which ones have you seen recently and can recommend? A:I recommend [MOVIE_TITLE_2] with [MOVIE_P_ACTOR_0]. His role is different that his other movies so it was interesting watching him. It was a good movie that I would recommend. B:I don't know anything about this movie. Do you have any other suggestions? A:[MOVIE_TITLE_3] is another good [MOVIE_GENRE_0] Same producers as [MOVIE_TITLE_4] bad.",I don't know anything about this movie either. How about something more mainstream? Something that sold a lot of tickets?,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_0]', '[MOVIE_GENRE_0]', '[MOVIE_TITLE_3]', '[MOVIE_GENRE_0]']",['[MOVIE_GENRE_1]'],[],['[MOVIE_TITLE_5]']
901, A:Hi there. How are you today? I'm Steve and I'm here to help you find a trailer to watch.,Hello Steve I am good thanks. How are you?,[],[],[],[]
902," A:Hi there. How are you today? I'm Steve and I'm here to help you find a trailer to watch. B:Hello Steve I am good thanks. How are you? A:I'm doing great, thanks for asking. What's the last movie that you watched?","Last movie I watch was [MOVIE_TITLE_0] even though I have seen it more than once, but I didn't have anything else to watch. I am looking for any [MOVIE_GENRE_0] or scary movie to watch. Any suggestions?",[],['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]'],"['[MOVIE_TITLE_1]', '[MOVIE_GENRE_1]']"
903," A:Hi there. How are you today? I'm Steve and I'm here to help you find a trailer to watch. B:Hello Steve I am good thanks. How are you? A:I'm doing great, thanks for asking. What's the last movie that you watched? B:Last movie I watch was [MOVIE_TITLE_0] even though I have seen it more than once, but I didn't have anything else to watch. I am looking for any [MOVIE_GENRE_0] or scary movie to watch. Any suggestions? A:I'm a big fan of the Marvel Universe myself. There are a few good ones out there. Let's see if I can narrow it down a bit. Are there any actors that you particularly enjoy? And what style scary movie do you prefer? [MOVIE_TITLE_1] along the lines of horror/slasher or tense [MOVIE_GENRE_1] or something else? B:I am a big fan too, so I've seen all of them! I might be leaning more towards a scary movie. Last kind of scary movie I saw was Us. So I am more interested in a tense [MOVIE_GENRE_1] I don't like much the typical non sense slasher movie. A:Perfect. And are you looking for something that is in theaters now or a movie to watch at home?",I am looking for something to watch at home.,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]']","['[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]']","['[MOVIE_GENRE_1]', '[MOVIE_P_ACTOR_1]', '[MOVIE_TITLE_2]', '[MOVIE_P_ACTOR_0]']"
904, A:Hello,Hi! I am really bored right now so can you recommend me a movie to watch?,[],[],[],['[MOVIE_TITLE_0]']
905, A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan?,I am a Disney movie fan,[],[],[],['[MOVIE_TITLE_1]']
906, A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan? B:I am a Disney movie fan A:[MOVIE_TITLE_1] movie is better than what people gave it credit for,I am not really a fan of the live [MOVIE_GENRE_0] Disney remake movies,[],[],[],[]
907, A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan? B:I am a Disney movie fan A:[MOVIE_TITLE_1] movie is better than what people gave it credit for B:I am not really a fan of the live [MOVIE_GENRE_0] Disney remake movies A:Oh that's understandable. Maybe you're a fan of pixar then?,"I do like Pixar but I've seen all their movies, I would like something a bit different",[],[],[],[]
908," A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan? B:I am a Disney movie fan A:[MOVIE_TITLE_1] movie is better than what people gave it credit for B:I am not really a fan of the live [MOVIE_GENRE_0] Disney remake movies A:Oh that's understandable. Maybe you're a fan of pixar then? B:I do like Pixar but I've seen all their movies, I would like something a bit different A:Hmm any genre in particular?",I am looking for something that has [MOVIE_GENRE_1],['[MOVIE_GENRE_1]'],"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]'],"['[MOVIE_TITLE_4]', '[MOVIE_GENRE_1]']"
909," A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan? B:I am a Disney movie fan A:[MOVIE_TITLE_1] movie is better than what people gave it credit for B:I am not really a fan of the live [MOVIE_GENRE_0] Disney remake movies A:Oh that's understandable. Maybe you're a fan of pixar then? B:I do like Pixar but I've seen all their movies, I would like something a bit different A:Hmm any genre in particular? B:I am looking for something that has [MOVIE_GENRE_1] A:[MOVIE_GENRE_1] huh? Have you ever watched ""The Silver lining""?",I have never heard of that. Is it a Disney movie?,"['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']",['[MOVIE_GENRE_1]'],['[MOVIE_GENRE_1]']
910," A:Hello B:Hi! I am really bored right now so can you recommend me a movie to watch? A:Are you a Disney or [MOVIE_TITLE_0] fan? B:I am a Disney movie fan A:[MOVIE_TITLE_1] movie is better than what people gave it credit for B:I am not really a fan of the live [MOVIE_GENRE_0] Disney remake movies A:Oh that's understandable. Maybe you're a fan of pixar then? B:I do like Pixar but I've seen all their movies, I would like something a bit different A:Hmm any genre in particular? B:I am looking for something that has [MOVIE_GENRE_1] A:[MOVIE_GENRE_1] huh? Have you ever watched ""The Silver lining""? B:I have never heard of that. Is it a Disney movie? A:No. It's a [MOVIE_GENRE_1] movie. B:Oh, I was hoping for an animated Disney movie with [MOVIE_GENRE_1] in it A:Oh I don't mind providing suggestions about that. I don't know which ones you already seen though.","I have seen all Disney movies from 2010 and onward, so any before that with [MOVIE_GENRE_1] would be great","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]']","['[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_GENRE_1]', '[MOVIE_TITLE_2]', '[MOVIE_GENRE_1]']","['[MOVIE_TITLE_2]', '[MOVIE_GENRE_1]']","['[MOVIE_TITLE_2]', '[MOVIE_GENRE_1]']"
911," A:Hello, I am here to help you look for a movie trailer.",Do you have a movie recommendation?,[],[],[],[]
912," A:Hello, I am here to help you look for a movie trailer. B:Do you have a movie recommendation? A:Sure, what kind of movies do you enjoy? B:I enjoy [MOVIE_GENRE_0] [MOVIE_GENRE_1] [MOVIE_GENRE_2] and children's movies. A:Pixar has a great selection of children's movies that also appeal to adults, are you familiar with Pixar?","Yes, that is from Disney right?",['[MOVIE_GENRE_1]'],"['[MOVIE_GENRE_1]', '[MOVIE_TITLE_0]', '[MOVIE_GENRE_3]']","['[MOVIE_TITLE_0]', '[MOVIE_GENRE_3]']","['[MOVIE_TITLE_0]', '[MOVIE_GENRE_3]']"
